,Book_Name,Publishing_Year,Author,gross_sales,publisher_revenue,sale_price,Publisher_,units_sold,Master_Genre,Master_Sub_Genre,Trope_1,Trope_2,Trope_3,Trope_4,Trope_5,Trope_6,Trope_7,Trope_8
11,THE COMPLETE MAUS,1986.0,ART SPIEGELMAN,111.87,67.122,0.99,AMAZON DIGITAL SERVICES   INC ,2862,NONFICTION,BIOGRAPHY,HISTORICAL,GRAPHICNOVELS,COMICS,HISTORY,MEMOIR,WAR,HOLOCAUST,CLASSICS
12,A LITTLE PRINCESS,1905.0,FRANCES HODGSON BURNETT  NANCY BOND,23792.34,14275.404,6.49,RANDOM HOUSE LLC,3666,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,HISTORICAL,MIDDLE GRADE,LITERATURE,JUVENILE,,AUDIOBOOK
13,THE AUTOBIOGRAPHY OF MALCOLM X,1965.0,MALCOLM X  ALEX HALEY,2025.94,1215.564,4.99,RANDOM HOUSE LLC,406,NONFICTION,BIOGRAPHY,CLASSICS,HISTORY,MEMOIR,AUTOBIOGRAPHY,RACE,POLITICS,BIOGRAPHYMEMOIR,AFRICANAMERICAN
14,THE ESSENTIAL CALVIN AND HOBBES  A CALVIN AND HOBBES TREASURY,1988.0,BILL WATTERSON,166.32,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4536,FICTION,CHILDRENS,CLASSICS,COMICS,HUMOR,GRAPHICNOVELS,GRAPHICNOVELSCOMICS,COMEDY,COMICBOOK,COMICSTRIPS
15,THE WIND IN THE WILLOWS,1908.0,KENNETH GRAHAME  GILLIAN AVERY,10327.3,6196.38,33.86,PENGUIN GROUP  USA  LLC,305,FICTION,CHILDRENS,FANTASY,CLASSICS,ANIMALS,YOUNG ADULT,ADVENTURE,MIDDLE GRADE,LITERATURE,AUDIOBOOK
16,THE STORY OF MY LIFE,1902.0,HELEN KELLER,347.49,208.494,0.99,AMAZON DIGITAL SERVICES   INC ,351,NONFICTION,BIOGRAPHY,HISTORICAL,CLASSICS,MEMOIR,HISTORY,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,DISABILITY,AUDIOBOOK
17,A SEPARATE PEACE,1959.0,JOHN KNOWLES,5924.47,0.0,3.89,AMAZON DIGITAL SERVICES   INC ,1523,FICTION,HISTORICAL,YOUNG ADULT,CLASSICS,SCHOOL,COMING OF AGE,HIGHSCHOOL,LITERATURE,READ FOR SCHOOL,NOVELS
18,SOPHIE S CHOICE,1979.0,WILLIAM STYRON,220.89,132.534,1.99,AMAZON DIGITAL SERVICES   INC ,4400,FICTION,HISTORICAL,NOVELS,CLASSICS,HOLOCAUST,WAR,WORLDWARII,LITERATURE,BANNEDBOOKS,
19,THE TAO OF POOH,1982.0,BENJAMIN HOFF  ERNEST H  SHEPARD,1198.75,719.25,9.59,HARPERCOLLINS PUBLISHERS,46008,NONFICTION,SELFHELP,CLASSICS,PHILOSOPHY,SPIRITUALITY,RELIGION,TAOISM,HUMOR,PSYCHOLOGY,AUDIOBOOK
20,ULYSSES,1922.0,JAMES JOYCE,117.81,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,36936,FICTION,LITERARY FICTION,NOVELS,CLASSICS,LITERATURE,IRELAND,IRISHLITERATURE,20THCENTURY,UNFINISHED,BANNEDBOOKS
21,LONESOME DOVE,1985.0,LARRY MCMURTRY,1687.77,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,423,FICTION,HISTORICAL,NOVELS,WESTERNS,CLASSICS,ADVENTURE,LITERATURE,AMERICAN,,AUDIOBOOK
22,PARADISE LOST,1667.0,JOHN MILTON  JOHN      LEONARD,868.26,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,4698,FICTION,FANTASY,FANTASY,CLASSICS,POETRY,LITERATURE,RELIGION,PHILOSOPHY,SCHOOL,CLASSICLITERATURE
23,THE JUNGLE,1906.0,UPTON SINCLAIR  EARL LEE  KATHLEEN DEGRAVE,1419.63,851.778,5.99,RANDOM HOUSE LLC,237,FICTION,HISTORICAL,NOVELS,CLASSICS,LITERATURE,POLITICS,SCHOOL,CLASSICLITERATURE,AMERICAN,
24,HORTON HEARS A WHO ,1954.0,DR  SEUSS,112.86,67.716,0.99,AMAZON DIGITAL SERVICES   INC ,2916,FICTION,CHILDRENS,FANTASY,PICTURE BOOKS,CLASSICS,POETRY,ANIMALS,KIDS,HUMOR,JUVENILE
25,ARE YOU THERE GOD  IT S ME  MARGARET,1970.0,JUDY BLUME,1111.77,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,1123,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,MIDDLE GRADE,COMING OF AGE,REALISTIC,CONTEMPORARY,BANNEDBOOKS,JUVENILE
26,THE FOUNDATION TRILOGY,1953.0,ISAAC ASIMOV,1060.82,636.492,8.99,HARPERCOLLINS PUBLISHERS,36504,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,SPACEOPERA,LITERATURE,NOVELS,SPECULATIVEFICTION,SPACE,
27,LITTLE HOUSE IN THE BIG WOODS,1932.0,LAURA INGALLS WILDER  GARTH WILLIAMS,697.95,418.77,0.99,AMAZON DIGITAL SERVICES   INC ,705,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,HISTORICAL,MIDDLE GRADE,JUVENILE,FAMILY,,AUDIOBOOK
28,DEATH OF A SALESMAN,1949.0,ARTHUR MILLER,5433.18,3259.908,10.91,PENGUIN GROUP  USA  LLC,498,FICTION,CLASSICS,CLASSICS,PLAYS,DRAMA,SCHOOL,THEATRE,LITERATURE,READ FOR SCHOOL,HIGHSCHOOL
29,A FINE BALANCE,1996.0,ROHINTON MISTRY,1136.2,681.72,2.99,SIMON AND SCHUSTER DIGITAL SALES INC,380,FICTION,LITERARY FICTION,NOVELS,HISTORICAL,INDIA,INDIANLITERATURE,CANADA,ASIA,LITERATURE,
30,THE CHOSEN,1967.0,CHAIM POTOK,218.9,131.34,1.99,AMAZON DIGITAL SERVICES   INC ,4320,FICTION,HISTORICAL,YOUNG ADULT,CLASSICS,JEWISH,RELIGION,SCHOOL,LITERATURE,JUDAISM,NOVELS
31,THE MARTIAN CHRONICLES,1950.0,RAY BRADBURY,1880.55,0.0,1.99,AMAZON DIGITAL SERVICES   INC ,945,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,SHORT STORIES,AMERICAN,SPACE,LITERATURE,,AUDIOBOOK
32,LAMB  THE GOSPEL ACCORDING TO BIFF  CHRIST S CHILDHOOD PAL,2002.0,CHRISTOPHER MOORE,4792.5,2875.5,10.65,RANDOM HOUSE LLC,450,FICTION,HISTORICAL,ADULT,HUMOR,FANTASY,RELIGION,COMEDY,NOVELS,,AUDIOBOOK
33,THE AWAKENING,1899.0,KATE CHOPIN,371.25,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,375,FICTION,HISTORICAL,NOVELS,CLASSICS,FEMINISM,SCHOOL,LITERATURE,READ FOR SCHOOL,HIGHSCHOOL,19TH CENTURY
34,THE AWAKENING,2009.0,KELLEY ARMSTRONG,761.1,456.66,6.45,SIMON AND SCHUSTER DIGITAL SALES INC,36072,FICTION,HISTORICAL,NOVELS,CLASSICS,FEMINISM,SCHOOL,LITERATURE,READ FOR SCHOOL,HIGHSCHOOL,19TH CENTURY
35,CALVIN AND HOBBES,1987.0,BILL WATTERSON  G B  TRUDEAU,1886.22,1131.732,4.99,PENGUIN GROUP  USA  LLC,378,FICTION,CHILDRENS,CLASSICS,COMICS,HUMOR,GRAPHICNOVELS,COMEDY,GRAPHICNOVELSCOMICS,COMICBOOK,COMICSTRIPS
36,THE CIDER HOUSE RULES,1985.0,JOHN IRVING,1134.3,0.0,1.99,AMAZON DIGITAL SERVICES   INC ,570,FICTION,LITERARY FICTION,ADULT,CLASSICS,HISTORICAL,LITERATURE,CONTEMPORARY,NOVELS,AMERICAN,
37,INFERNO,1320.0,DANTE ALIGHIERI  ANTHONY M  ESOLEN,354.22,212.532,1.99,HACHETTE BOOK GROUP,4806,FICTION,FANTASY,FANTASY,CLASSICS,POETRY,LITERATURE,RELIGION,SCHOOL,PHILOSOPHY,ITALIANLITERATURE
38,THE HOUSE AT POOH CORNER,1928.0,A A  MILNE  ERNEST H  SHEPARD,214.92,0.0,1.99,AMAZON DIGITAL SERVICES   INC ,108,FICTION,CHILDRENS,FANTASY,CLASSICS,ANIMALS,MIDDLE GRADE,PICTURE BOOKS,YOUNG ADULT,SHORT STORIES,AUDIOBOOK
39,THE POWER OF ONE,1989.0,BRYCE COURTENAY,846.94,508.164,7.99,RANDOM HOUSE LLC,106,FICTION,HISTORICAL,YOUNG ADULT,AFRICA,CLASSICS,SOUTHAFRICA,COMING OF AGE,NOVELS,LITERATURE,
40,SHANTARAM,2003.0,GREGORY DAVID ROBERTS,476.19,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,481,FICTION,HISTORICAL,CONTEMPORARY,INDIA,TRAVEL,ADVENTURE,NOVELS,ASIA,CRIME,UNFINISHED
41,COSMOS,1980.0,CARL SAGAN,1131.62,678.972,9.59,PENGUIN GROUP  USA  LLC,35640,NONFICTION,SCIENCE,CLASSICS,ASTRONOMY,PHYSICS,HISTORY,SPACE,PHILOSOPHY,POPULARSCIENCE,AUDIOBOOK
42,OLD YELLER,1956.0,FRED GIPSON,1502.02,901.212,13.78,MACMILLAN,4280,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,ANIMALS,HISTORICAL,DOGS,MIDDLE GRADE,SCHOOL,REALISTIC
43,THE ONCE AND FUTURE KING,1958.0,T H  WHITE,746.7,448.02,6.55,MACMILLAN,2889,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,HISTORICAL,ARTHURIAN,MYTHOLOGY,YOUNG ADULT,LITERATURE,
44,THE COMPLETE POEMS OF EMILY DICKINSON,1890.0,EMILY DICKINSON  THOMAS H  JOHNSON,543.91,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,4280,FICTION,CLASSICS,CLASSICS,POETRY,LITERATURE,AMERICAN,19TH CENTURY,CLASSICLITERATURE,WOMENS,FEMINISM
45,FROM THE MIXED UP FILES OF MRS  BASIL E  FRANKWEILER,1967.0,E L  KONIGSBURG,1085.37,651.222,2.99,AMAZON DIGITAL SERVICES   INC ,363,FICTION,CHILDRENS,YOUNG ADULT,MIDDLE GRADE,MYSTERY,CLASSICS,REALISTIC,ADVENTURE,JUVENILE,SCHOOL
46,LITTLE HOUSE ON THE PRAIRIE,1935.0,LAURA INGALLS WILDER  GARTH WILLIAMS,6897.34,4138.404,1.99,HARPERCOLLINS PUBLISHERS,3466,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,HISTORICAL,MIDDLE GRADE,JUVENILE,FAMILY,,AUDIOBOOK
47,THE WAR OF THE WORLDS,1897.0,H G  WELLS  ARTHUR C  CLARKE,15968.0,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,3200,FICTION,HORROR,FANTASY,CLASSICS,SCIENCE FICTION,LITERATURE,NOVELS,ALIENS,,AUDIOBOOK
48,THE SOUND AND THE FURY,1929.0,WILLIAM FAULKNER,2445.1,1467.06,4.99,HACHETTE BOOK GROUP,490,FICTION,LITERARY FICTION,NOVELS,CLASSICS,LITERATURE,AMERICAN,20THCENTURY,SOUTHERNGOTHIC,SCHOOL,SOUTHERN
49,ANTHEM,1938.0,AYN RAND,1112.77,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,6021,FICTION,SCIENCE FICTION,NOVELS,CLASSICS,DYSTOPIA,PHILOSOPHY,SCHOOL,LITERATURE,POLITICS,READ FOR SCHOOL
50,THE HEART IS A LONELY HUNTER,1940.0,CARSON MCCULLERS,454.86,0.0,3.99,AMAZON DIGITAL SERVICES   INC ,2889,FICTION,LITERARY FICTION,NOVELS,CLASSICS,LITERATURE,AMERICAN,SOUTHERN,HISTORICAL,SOUTHERNGOTHIC,COMING OF AGE
51,THE BLUEST EYE,1970.0,TONI MORRISON,1219.92,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,408,FICTION,LITERARY FICTION,NOVELS,CLASSICS,HISTORICAL,AFRICANAMERICAN,RACE,LITERATURE,BANNEDBOOKS,SCHOOL
52,THE REMAINS OF THE DAY,1989.0,KAZUO ISHIGURO,1874.87,1124.922,5.99,RANDOM HOUSE LLC,313,FICTION,LITERARY FICTION,CONTEMPORARY,HISTORICAL,CLASSICS,LITERATURE,NOVELS,BRITISH LITERATURE,,AUDIOBOOK
53,HOWL S MOVING CASTLE,1986.0,DIANA WYNNE JONES,950.82,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,318,FICTION,ROMANCE,FANTASY,YOUNG ADULT,MIDDLE GRADE,MAGIC,CHILDRENS,CLASSICS,ADVENTURE,AUDIOBOOK
54,WHITE FANG,1906.0,JACK LONDON,1703.17,1021.902,8.39,RANDOM HOUSE LLC,5481,FICTION,CHILDRENS,YOUNG ADULT,CLASSICS,ADVENTURE,ANIMALS,HISTORICAL,LITERATURE,NOVELS,AMERICAN
55,MIDDLEMARCH,1871.0,GEORGE ELIOT  MICHEL FABER,186.12,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,5076,FICTION,ROMANCE,NOVELS,CLASSICS,HISTORICAL,LITERATURE,19TH CENTURY,VICTORIAN,BRITISH LITERATURE,AUDIOBOOK
56,DIFFERENT SEASONS,1982.0,STEPHEN KING,5000.45,3000.27,10.99,SIMON AND SCHUSTER DIGITAL SALES INC,455,FICTION,MYSTERY,FANTASY,HORROR,SHORT STORIES,THRILLER,CLASSICS,DRAMA,SUSPENSE,ANTHOLOGIES
57,A WIZARD OF EARTHSEA,1968.0,URSULA K  LE GUIN,4707.0,0.0,3.0,AMAZON DIGITAL SERVICES   INC ,1569,FICTION,SCIENCE FICTION,FANTASY,YOUNG ADULT,CLASSICS,MAGIC,HIGH,ADVENTURE,,AUDIOBOOK
58,TRAINSPOTTING,1993.0,IRVINE WELSH  ERIC LINDOR FALL,1100.32,660.192,2.99,RANDOM HOUSE LLC,368,FICTION,CLASSICS,CONTEMPORARY,SCOTLAND,NOVELS,LITERATURE,CRIME,BRITISH LITERATURE,THRILLER,20THCENTURY
59,THE SELFISH GENE,1976.0,RICHARD DAWKINS,897.75,538.65,3.99,AMAZON DIGITAL SERVICES   INC ,6075,NONFICTION,SCIENCE,HISTORY,BIOLOGY,EVOLUTION,PHILOSOPHY,PSYCHOLOGY,POPULARSCIENCE,GENETICS,AUDIOBOOK
60,THE RISE AND FALL OF THE THIRD REICH  A HISTORY OF NAZI GERMANY,1960.0,WILLIAM L  SHIRER,334.88,200.928,2.99,HARPERCOLLINS PUBLISHERS,4440,NONFICTION,HISTORY,HISTORICAL,WORLDWARII,WAR,POLITICS,GERMANY,HOLOCAUST,MILITARYHISTORY,AUDIOBOOK
61,AMELIA BEDELIA,1963.0,PEGGY PARISH  FRITZ SIEBEL,878.9,527.34,7.99,PENGUIN GROUP  USA  LLC,4320,FICTION,CHILDRENS,YOUNG ADULT,PICTURE BOOKS,HUMOR,CLASSICS,KIDS,JUVENILE,REALISTIC,COMEDY
62,INFIDEL,2006.0,AYAAN HIRSI ALI,107.91,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,109,NONFICTION,BIOGRAPHY,MEMOIR,RELIGION,AFRICA,POLITICS,ISLAM,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,FEMINISM
63,THE STINKY CHEESE MAN AND OTHER FAIRLY STUPID TALES,1992.0,JON SCIESZKA  LANE SMITH,334.88,200.928,2.99,AMAZON DIGITAL SERVICES   INC ,4480,FICTION,CHILDRENS,FANTASY,PICTURE BOOKS,HUMOR,FAIRYTALES,SHORT STORIES,KIDS,CLASSICS,RETELLINGS
64,GOD IS NOT GREAT  HOW RELIGION POISONS EVERYTHING,2007.0,CHRISTOPHER HITCHENS,694.84,416.904,5.99,AMAZON DIGITAL SERVICES   INC ,30456,NONFICTION,SCIENCE,HISTORY,RELIGION,PHILOSOPHY,ATHEISM,POLITICS,THEOLOGY,SOCIOLOGY,AUDIOBOOK
65,THE WITCH OF BLACKBIRD POND,1958.0,ELIZABETH GEORGE SPEARE,1230.46,738.276,7.99,PENGUIN GROUP  USA  LLC,4158,FICTION,ROMANCE,YOUNG ADULT,HISTORICAL,CLASSICS,CHILDRENS,MIDDLE GRADE,WITCHES,SCHOOL,
66,THE LEFT HAND OF DARKNESS,1969.0,URSULA K  LE GUIN  LECH JÄ CZMYK,822.83,493.698,7.69,RANDOM HOUSE LLC,107,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,FEMINISM,SPECULATIVEFICTION,NOVELS,LGBT,QUEER,
67,THE KILLER ANGELS,1974.0,MICHAEL SHAARA,105.93,63.558,0.99,AMAZON DIGITAL SERVICES   INC ,107,FICTION,HISTORICAL,HISTORICAL,CIVILWAR,WAR,MILITARYFICTION,CLASSICS,AMERICANHISTORY,AMERICANCIVILWAR,SCHOOL
68,WILD SWANS  THREE DAUGHTERS OF CHINA,1991.0,JUNG CHANG,434.91,260.946,3.99,HARPERCOLLINS CHRISTIAN PUBLISHING,4280,NONFICTION,BIOGRAPHY,HISTORICAL,HISTORY,CHINA,MEMOIR,ASIA,BIOGRAPHYMEMOIR,AUTOBIOGRAPHY,ASIANLITERATURE
69,WE NEED TO TALK ABOUT KEVIN,2003.0,LIONEL SHRIVER,5902.92,3541.752,25.89,HARPERCOLLINS PUBLISHERS,6156,FICTION,HORROR,ADULT,CONTEMPORARY,THRILLER,CRIME,DRAMA,PSYCHOLOGY,LITERARY FICTION,BOOKCLUB
70,ALEXANDER AND THE TERRIBLE  HORRIBLE  NO GOOD  VERY BAD DAY,1972.0,JUDITH VIORST  RAY CRUZ,2421.9,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,810,FICTION,CHILDRENS,CLASSICS,PICTURE BOOKS,REALISTIC,HUMOR,KIDS,FAMILY,EMOTION,JUVENILE
71,GUESS HOW MUCH I LOVE YOU,1988.0,SAM MCBRATNEY  ANITA JERAM,738.53,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,247,FICTION,CHILDRENS,CLASSICS,PICTURE BOOKS,ANIMALS,FAMILY,LOVE,KIDS,STORYTIME,RABBITS
72,THE SILMARILLION,1977.0,J R R  TOLKIEN  CHRISTOPHER TOLKIEN  TED NASMITH,6447.08,3868.248,4.99,RANDOM HOUSE LLC,1292,FICTION,SCIENCE FICTION,FANTASY,CLASSICS,HIGH,EPICFANTASY,MYTHOLOGY,LITERATURE,ADVENTURE,NOVELS
73,MIDNIGHT IN THE GARDEN OF GOOD AND EVIL,1994.0,JOHN BERENDT,26182.0,15709.2,6.89,HACHETTE BOOK GROUP,3800,NONFICTION,MEMOIR,CLASSICS,TRUE CRIME,MYSTERY,CRIME,HISTORY,SOUTHERN,TRAVEL,AUDIOBOOK
74,WORLD WITHOUT END,2007.0,KEN FOLLETT,905.85,543.51,0.99,RANDOM HOUSE LLC,915,FICTION,ROMANCE,ADULT,HISTORICAL,MEDIEVAL,BRITISH LITERATURE,NOVELS,FANTASY,,AUDIOBOOK
75,MIDNIGHT S CHILDREN,1981.0,SALMAN RUSHDIE,1474.23,884.538,9.39,AMAZON DIGITAL SERVICES   INC ,4239,FICTION,LITERARY FICTION,FANTASY,MAGICAL REALISM,CLASSICS,INDIA,HISTORICAL,LITERATURE,NOVELS,INDIANLITERATURE
76,ON WRITING  A MEMOIR OF THE CRAFT,1999.0,STEPHEN KING,1943.5,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,650,NONFICTION,BIOGRAPHY,MEMOIR,WRITING,REFERENCE,AUTOBIOGRAPHY,BIOGRAPHYMEMOIR,BOOKSABOUTBOOKS,SELFHELP,AUDIOBOOK
77,EVERYTHING IS ILLUMINATED,2002.0,JONATHAN SAFRAN FOER,1629.54,977.724,0.99,AMAZON DIGITAL SERVICES   INC ,1646,FICTION,LITERARY FICTION,CONTEMPORARY,HISTORICAL,NOVELS,LITERATURE,MAGICAL REALISM,HOLOCAUST,JEWISH,
78,HELTER SKELTER  THE TRUE STORY OF THE MANSON MURDERS,1974.0,VINCENT BUGLIOSI  CURT GENTRY,176.22,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4806,NONFICTION,BIOGRAPHY,CRIME,TRUE CRIME,HISTORY,HORROR,MYSTERY,CULTS,PSYCHOLOGY,AUDIOBOOK
79,SNOW FALLING ON CEDARS,1994.0,DAVID GUTERSON,1393.34,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,466,FICTION,ROMANCE,ADULT,HISTORICAL,MYSTERY,LITERATURE,NOVELS,LITERARY FICTION,CLASSICS,
80,THE ENGLISH PATIENT,1992.0,MICHAEL ONDAATJE,663.67,0.0,4.99,AMAZON DIGITAL SERVICES   INC ,51840,FICTION,ROMANCE,NOVELS,HISTORICAL,CLASSICS,WAR,CANADA,LITERATURE,LITERARY FICTION,
81,THE HOUSE ON MANGO STREET,1984.0,SANDRA CISNEROS,115.83,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,34128,FICTION,CLASSICS,YOUNG ADULT,SHORT STORIES,SCHOOL,CONTEMPORARY,COMING OF AGE,READ FOR SCHOOL,POETRY,REALISTIC
82,THE SCARLET PIMPERNEL,1905.0,EMMUSKA ORCZY,648.09,388.854,3.79,HACHETTE BOOK GROUP,4617,FICTION,ROMANCE,HISTORICAL,CLASSICS,ADVENTURE,MYSTERY,FRANCE,LITERATURE,CLASSICLITERATURE,
83,HOUSE OF LEAVES,2000.0,MARK Z  DANIELEWSKI,439.53,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,3969,FICTION,MYSTERY,ADULT,HORROR,FANTASY,THRILLER,CONTEMPORARY,NOVELS,LITERATURE,PARANORMAL
84,BLUE LIKE JAZZ  NONRELIGIOUS THOUGHTS ON CHRISTIAN SPIRITUALITY,2003.0,DONALD MILLER,162.36,0.0,0.99,AMAZON DIGITAL SERVICES   INC ,4428,NONFICTION,BIOGRAPHY,MEMOIR,CHRISTIAN,RELIGION,CHRISTIANITY,FAITH,SPIRITUALITY,THEOLOGY,CHRISTIANLIVING
85,THE CELESTINE PROPHECY,1993.0,JAMES REDFIELD,594.51,356.706,3.99,PENGUIN GROUP  USA  LLC,4023,FICTION,SELFHELP,FANTASY,SPIRITUALITY,PHILOSOPHY,NEWAGE,RELIGION,INSPIRATIONAL,ADVENTURE,NOVELS
86,A ROOM WITH A VIEW,1908.0,E M  FORSTER,891.02,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,298,FICTION,ROMANCE,NOVELS,CLASSICS,HISTORICAL,ITALY,LITERATURE,BRITISH LITERATURE,20THCENTURY,AUDIOBOOK
87,INVISIBLE MONSTERS,1999.0,CHUCK PALAHNIUK,771.42,462.852,2.99,SIMON AND SCHUSTER DIGITAL SALES INC,258,FICTION,MYSTERY,ADULT,CONTEMPORARY,THRILLER,NOVELS,HUMOR,HORROR,DARK,
88,EXODUS,1958.0,LEON URIS,1470.72,882.432,11.49,RANDOM HOUSE LLC,47304,FICTION,HISTORICAL,NOVELS,CLASSICS,ISRAEL,JEWISH,WAR,HOLOCAUST,LITERATURE,
89,FAR FROM THE MADDING CROWD,1874.0,THOMAS HARDY  ROSEMARIE MORGAN  SHANNON RUSSELL,1997.73,1198.638,13.59,HARPERCOLLINS PUBLISHERS,3969,FICTION,ROMANCE,NOVELS,CLASSICS,HISTORICAL,19TH CENTURY,LITERATURE,VICTORIAN,BRITISH LITERATURE,CLASSICLITERATURE
90,THE HORSE AND HIS BOY,1954.0,C S  LEWIS,21564.0,12938.4,5.99,PENGUIN GROUP  USA  LLC,3600,FICTION,CHILDRENS,FANTASY,CLASSICS,YOUNG ADULT,CHRISTIAN,ADVENTURE,MIDDLE GRADE,CHRISTIANFICTION,AUDIOBOOK
91,JITTERBUG PERFUME,1984.0,TOM ROBBINS,325.91,0.0,2.99,AMAZON DIGITAL SERVICES   INC ,4240,FICTION,LITERARY FICTION,FANTASY,HUMOR,MAGICAL REALISM,LITERATURE,NOVELS,CONTEMPORARY,CLASSICS,AMERICAN
